iteration,trainAcc,devAcc
0,0.21793653809614288,0.2157190635451505
1,0.27721831654949647,0.2591973244147157
2,0.3203496104883147,0.3060200668896321
3,0.35398061941858255,0.3311036789297659
4,0.3545506365190956,0.32608695652173914
5,0.37260117803534104,0.3377926421404682
6,0.372031160934828,0.3494983277591973
7,0.36443093292798784,0.3411371237458194
8,0.3746912407372221,0.3494983277591973
9,0.37583127493824814,0.34782608695652173
10,0.38001140034201025,0.3511705685618729
11,0.38286148584457536,0.3511705685618729
12,0.3860915827474824,0.3595317725752508
13,0.39065171955158656,0.3595317725752508
14,0.3895116853505605,0.35785953177257523
15,0.3961618848565457,0.36454849498327757
16,0.39730191905757173,0.35785953177257523
17,0.39407182215466463,0.35785953177257523
18,0.39426182785483566,0.35618729096989965
19,0.39331179935398064,0.36454849498327757
20,0.3961618848565457,0.3612040133779264
21,0.3993919817594528,0.36454849498327757
22,0.3891316739502185,0.35785953177257523
23,0.3919817594527836,0.3595317725752508
24,0.3919817594527836,0.35618729096989965
25,0.3887516625498765,0.35785953177257523
26,0.3885616568497055,0.35785953177257523
27,0.3912217366520996,0.3595317725752508
28,0.39388181645449366,0.36622073578595316
29,0.39331179935398064,0.3612040133779264
